,,,
EBS Volume,REGION :eu-west-1
VolumeId,Status,InstanceId,AttachTime,Size,Encryption_State
vol-0734b7dec4574b1fd,available,N/A,N/A,20,False
vol-01a909239107561c9,available,N/A,N/A,20,False
vol-05fb7e7aeeedbec44,available,N/A,N/A,20,False
vol-0fd0b9a32501fb1c3,available,N/A,N/A,20,False
vol-04fec7001ef8a55a2,available,N/A,N/A,20,False
vol-09b6844d667f17c7a,available,N/A,N/A,20,False
vol-089dc35c4415d01c2,available,N/A,N/A,20,False
vol-0019f5ee2d3ee3c16,in-use,i-0f0c981d73e67126c,2018-10-04 11:48:04+00:00,20,False
vol-0caefcb7c0c463271,in-use,i-0649641af4f8a4b52,2018-10-04 11:48:08+00:00,20,False
vol-0ab99b90c24ad604f,in-use,i-068b64ce6d6c985b2,2018-10-04 11:48:06+00:00,20,False
vol-03f683c6afa9f34ae,in-use,i-041345eeaafee2dd6,2018-10-04 11:48:09+00:00,20,False
vol-0160c9aee66f79d3c,available,N/A,N/A,20,False
vol-0bca82d7de5fce19d,available,N/A,N/A,20,False
vol-0e44501b8b4f985e2,available,N/A,N/A,20,False
vol-0593f674fc94803fc,available,N/A,N/A,20,False
vol-0daaabc6371028994,available,N/A,N/A,20,False
vol-065a1784e9b78f639,available,N/A,N/A,20,False
vol-02b78fef18537573b,available,N/A,N/A,20,False
vol-0e26746cddd578726,available,N/A,N/A,20,False
vol-0411ab8d678802fc1,available,N/A,N/A,20,False
vol-0ca06549a719a85d7,available,N/A,N/A,20,False
vol-04f332ba29f7fdc5c,available,N/A,N/A,20,False
vol-0784b6c92f1d8e6a2,available,N/A,N/A,20,False
vol-03b6e6411d3d77d19,available,N/A,N/A,20,False
vol-05fb231e54bf0ef0b,available,N/A,N/A,20,False
vol-02f851c7641f47258,available,N/A,N/A,20,False
vol-0fa9c2b03af8bb1d9,available,N/A,N/A,20,False
vol-0dc048978c8dc77e2,available,N/A,N/A,20,False
vol-04701efedcd8f2a26,available,N/A,N/A,20,False
vol-0df5eed49727f1b06,available,N/A,N/A,20,False
vol-01f52fef42343fec5,available,N/A,N/A,20,False
vol-0b5519c3aeb56b89d,available,N/A,N/A,20,False
