,,,,,
iopreview S3 BUCKET LIST
BucketName,Region,Environment,Cost Center,Other_Tags 
opsautomator-configuration-1mjphv53t31k0,us-east-1,N/A,N/A,N/Aaws:cloudformation:stack-name:OpsAutomator ; aws:cloudformation:logical-id:Configuration ; aws:cloudformation:stack-id:arn:aws:cloudformation:us-east-1:008381431361:stack/OpsAutomator/72763480-0744-11e8-bb66-503acac41efd ; Name:OpsAutomator ;  
opsautomator-taskresources-1fycca66sp7k,us-east-1,N/A,N/A,N/Aaws:cloudformation:stack-name:OpsAutomator ; aws:cloudformation:logical-id:TaskResources ; aws:cloudformation:stack-id:arn:aws:cloudformation:us-east-1:008381431361:stack/OpsAutomator/72763480-0744-11e8-bb66-503acac41efd ; Name:OpsAutomator ;  
opsautomator-taskresources-oezumr38g8eu,us-east-1,N/A,N/A,N/Aaws:cloudformation:stack-id:arn:aws:cloudformation:us-east-1:008381431361:stack/OpsAutomator/39d2b2e0-0030-11e8-9fa0-50fae98974fd ; aws:cloudformation:stack-name:OpsAutomator ; aws:cloudformation:logical-id:TaskResources ;  
pre-reqs-artifactbucket-l34oyj4zqtal,us-east-1,N/A,N/A,N/Aaws:cloudformation:stack-id:arn:aws:cloudformation:us-east-1:008381431361:stack/pre-reqs/c73356e0-8c12-11e7-8163-50fae9826c35 ; aws:cloudformation:stack-name:pre-reqs ; aws:cloudformation:logical-id:ArtifactBucket ;  
s3-bucket-access-control,eu-west-1,N/A,N/A,N/A 
sandboxesconfigs,us-east-1,N/A,N/A,N/A 
sandoboxes,us-east-1,N/A,N/A,N/A 
sms-b-us-east-1-7nzzvj3ide4kbel5sasdeclzcfjtbnq2,us-east-1,N/A,N/A,N/A 
spinnakergis,eu-west-1,N/A,N/A,N/A 
versioningandlifecycle,us-east-1,N/A,N/A,N/A 
z-us-commercial-o2-sandbox-temp-test,us-east-1,N/A,N/A,N/A 
zerto-032bdf2b-ebcd-4cff-b816-1fd56e755655,us-east-1,N/A,N/A,N/A 
